Index,Restaurant Name,City,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes
34,Taco Pep,Brasí_lia,"Mexican, Grill",100,Brazilian Real(R$),No,No,No,No,4,4.3,Green,Very Good,29
35,Coco Bambu,Brasí_lia,International,230,Brazilian Real(R$),No,No,No,No,4,4.2,Green,Very Good,17
36,Taypíç,Brasí_lia,"Peruvian, Latin American",100,Brazilian Real(R$),No,No,No,No,4,3.6,Yellow,Good,5
37,Outback Steakhouse,Brasí_lia,"American, Grill",150,Brazilian Real(R$),No,No,No,No,4,4,Green,Very Good,10
38,Manzuíç,Brasí_lia,Seafood,240,Brazilian Real(R$),No,No,No,No,4,3.2,Orange,Average,6
39,Coco Bambu,Brasí_lia,International,230,Brazilian Real(R$),No,No,No,No,4,4.9,Dark Green,Excellent,30
40,Gero,Brasí_lia,Italian,350,Brazilian Real(R$),No,No,No,No,4,3.3,Orange,Average,8
41,Brazilian American Burgers,Brasí_lia,"American, Burger",50,Brazilian Real(R$),No,No,No,No,2,3.6,Yellow,Good,9
42,Pesqueiro Eco Gourmet,Rio de Janeiro,"Seafood, Bar Food, Brazilian",140,Brazilian Real(R$),No,No,No,No,4,4,Green,Very Good,7
43,Confeitaria Colombo,Rio de Janeiro,"Desserts, Cafe",100,Brazilian Real(R$),No,No,No,No,4,4.8,Dark Green,Excellent,29
44,Bibi,Rio de Janeiro,"Juices, Healthy Food",60,Brazilian Real(R$),No,No,No,No,3,4.7,Dark Green,Excellent,24
45,Cervantes,Rio de Janeiro,"Beverages, Bar Food, Fast Food",90,Brazilian Real(R$),No,No,No,No,3,4.5,Dark Green,Excellent,29
46,Amir,Rio de Janeiro,Lebanese,170,Brazilian Real(R$),No,No,No,No,4,4.2,Green,Very Good,11
47,TT Burger,Rio de Janeiro,Burger,60,Brazilian Real(R$),No,No,No,No,3,4.8,Dark Green,Excellent,19
48,Braseiro da Gíçvea,Rio de Janeiro,"Brazilian, Bar Food",100,Brazilian Real(R$),No,No,No,No,4,4.9,Dark Green,Excellent,40
49,Balada Mix,Rio de Janeiro,"Brazilian, Healthy Food, Juices, Pizza",90,Brazilian Real(R$),No,No,No,No,3,4.6,Dark Green,Excellent,21
50,Garota de Ipanema,Rio de Janeiro,"Brazilian, Bar Food",120,Brazilian Real(R$),No,No,No,No,4,4.9,Dark Green,Excellent,49
51,Zazíç BistríÇ Tropical,Rio de Janeiro,Brazilian,170,Brazilian Real(R$),No,No,No,No,4,4.6,Dark Green,Excellent,21
52,Filí© de Ouro,Rio de Janeiro,Brazilian,90,Brazilian Real(R$),No,No,No,No,3,4.3,Green,Very Good,14
53,D.O.C Ristorante,Rio de Janeiro,Italian,150,Brazilian Real(R$),No,No,No,No,4,4,Green,Very Good,5
54,Sushi Leblon,Rio de Janeiro,Japanese,250,Brazilian Real(R$),No,No,No,No,4,4.6,Dark Green,Excellent,25
55,Talho Capixaba,Rio de Janeiro,"Bakery, Sandwich, Brazilian",120,Brazilian Real(R$),No,No,No,No,4,4.4,Green,Very Good,13
56,Leme Light,Rio de Janeiro,Brazilian,40,Brazilian Real(R$),No,No,No,No,2,4.2,Green,Very Good,7
57,Shirley,Rio de Janeiro,"Brazilian, Seafood",250,Brazilian Real(R$),No,No,No,No,4,4.2,Green,Very Good,8
58,Quiosque Chopp Brahma,Rio de Janeiro,"Bar Food, Brazilian",70,Brazilian Real(R$),No,No,No,No,3,0,White,Not rated,1
59,Aprazí_vel,Rio de Janeiro,Brazilian,300,Brazilian Real(R$),No,No,No,No,4,4.7,Dark Green,Excellent,44
60,Aconchego Carioca,Rio de Janeiro,"Brazilian, Bar Food",85,Brazilian Real(R$),No,No,No,No,3,4.6,Dark Green,Excellent,24
61,Garota de Ipanema,Rio de Janeiro,"Brazilian, Bar Food",80,Brazilian Real(R$),No,No,No,No,3,4.3,Green,Very Good,10
62,Cantina Famiglia Mancini,Sí£o Paulo,"Italian, Pizza",250,Brazilian Real(R$),No,No,No,No,4,4.5,Dark Green,Excellent,49
63,Templo da Carne - Marcos Bassi,Sí£o Paulo,"Steak, BBQ",250,Brazilian Real(R$),No,No,No,No,4,4.4,Green,Very Good,17
64,Gopala Hari,Sí£o Paulo,Indian,70,Brazilian Real(R$),No,No,No,No,3,3.1,Orange,Average,5
65,Jiquitaia,Sí£o Paulo,Brazilian,100,Brazilian Real(R$),No,No,No,No,4,4.1,Green,Very Good,15
66,Skye - Hotel Unique,Sí£o Paulo,"Beverages, International",300,Brazilian Real(R$),No,No,No,No,4,4.8,Dark Green,Excellent,59
67,Les 3 Brasseurs,Sí£o Paulo,"French, Brazilian, Beverages",120,Brazilian Real(R$),No,No,No,No,4,4.6,Dark Green,Excellent,30
68,Red Steak & Burger,Sí£o Paulo,"Brazilian, Grill",75,Brazilian Real(R$),No,No,No,No,3,3.9,Yellow,Good,5
69,Cantinho da Gula,Sí£o Paulo,Brazilian,55,Brazilian Real(R$),No,No,No,No,2,0,White,Not rated,0
70,Paris 6 Classique,Sí£o Paulo,French,200,Brazilian Real(R$),No,No,No,No,4,3.4,Orange,Average,73
71,Kawa Sushi,Sí£o Paulo,"Sushi, Japanese",120,Brazilian Real(R$),No,No,No,No,4,3.5,Yellow,Good,9
72,A Figueira Rubaiyat,Sí£o Paulo,"BBQ, Grill, Brazilian",300,Brazilian Real(R$),No,No,No,No,4,4.3,Green,Very Good,39
73,Kinoshita,Sí£o Paulo,Sushi,230,Brazilian Real(R$),No,No,No,No,4,3.9,Yellow,Good,12
74,Meats,Sí£o Paulo,"Gourmet Fast Food, Burger",120,Brazilian Real(R$),No,No,No,No,4,4.3,Green,Very Good,68
75,Paribar,Sí£o Paulo,"Brazilian, Italian",150,Brazilian Real(R$),No,No,No,No,4,4.3,Green,Very Good,46
76,Terraí_o Itíçlia,Sí£o Paulo,Italian,400,Brazilian Real(R$),No,No,No,No,4,4.4,Green,Very Good,37
77,Divino Fogí£o,Sí£o Paulo,"Brazilian, Mineira",65,Brazilian Real(R$),No,No,No,No,3,0,White,Not rated,2
78,Super Grill,Sí£o Paulo,Brazilian,50,Brazilian Real(R$),No,No,No,No,2,0,White,Not rated,2
79,Esquina Mocotí_,Sí£o Paulo,"Brazilian, North Eastern",100,Brazilian Real(R$),No,No,No,No,4,4.4,Green,Very Good,22
80,Veloso,Sí£o Paulo,"Brazilian, Bar Food, Beverages",70,Brazilian Real(R$),No,No,No,No,3,4.6,Dark Green,Excellent,58
81,Sainte Marie Gastronomia,Sí£o Paulo,"Lebanese, Arabian",120,Brazilian Real(R$),No,No,No,No,4,4.1,Green,Very Good,11
82,Austin's BBQ and Oyster Bar,Albany,"BBQ, Burger, Seafood",25,Dollar($),No,No,No,No,2,3.3,Orange,Average,35
83,BJ's Country Buffet,Albany,"American, BBQ",10,Dollar($),No,No,No,No,1,3.3,Orange,Average,25
86,Elements Coffee Co - Northwest,Albany,"Coffee and Tea, Sandwich",10,Dollar($),No,No,No,No,1,3.4,Orange,Average,26
88,Chick-fil-A,Albany,Fast Food,10,Dollar($),No,No,No,No,1,3.5,Yellow,Good,67
89,Guang Zhou Chinese Restaurant,Albany,"Asian, Chinese, Vegetarian",10,Dollar($),No,No,No,No,1,3.9,Yellow,Good,141
90,Harvest Moon,Albany,"Pizza, Bar Food, Sandwich",25,Dollar($),No,No,No,No,2,3.7,Yellow,Good,147
91,Henry Campbell's Steakhouse,Albany,"Steak, Tapas, Bar Food",70,Dollar($),No,No,No,No,4,3.5,Yellow,Good,51
92,Hong Kong Cafe,Albany,"Chinese, Seafood, Vegetarian",25,Dollar($),No,No,No,No,2,3.6,Yellow,Good,88
93,House of China Restaurant II,Albany,Chinese,10,Dollar($),No,No,No,No,1,3.8,Yellow,Good,153
94,Jimmie's Hot Dogs,Albany,North Indian,10,Dollar($),No,No,No,No,1,3.9,Yellow,Good,160
95,Locos Grill & Pub,Albany,"American, Burger, Sandwich",25,Dollar($),No,No,No,No,2,3.5,Yellow,Good,57
96,Longhorn Steakhouse,Albany,"American, Steak",25,Dollar($),No,No,No,No,2,3.5,Yellow,Good,58
97,Mikata Japanese Steakhouse,Albany,"Japanese, Steak, Sushi",40,Dollar($),No,No,No,No,3,3.6,Yellow,Good,115
98,Shogun Japanese Steak House,Albany,"Japanese, Steak, Sushi",40,Dollar($),No,No,No,No,3,3.5,Yellow,Good,51
99,The Catch Seafood Room & Oyster Bar,Albany,"Seafood, Tapas, Bar Food",40,Dollar($),No,No,No,No,3,3.8,Yellow,Good,250
100,Villa Gargano,Albany,"Italian, Pizza",10,Dollar($),No,No,No,No,1,3.7,Yellow,Good,117
101,3 Squares Diner,Albany,"American, Breakfast, Diner",10,Dollar($),No,No,No,No,1,3.4,Orange,Average,20
102,Whitebull Hotel,Armidale,"Bar Food, Steak",20,Dollar($),No,No,No,No,2,3.5,Yellow,Good,25
103,Last Resort Grill,Athens,"American, Southern, Southwestern",40,Dollar($),No,No,No,No,3,4.5,Dark Green,Excellent,1821
104,Mama's Boy Restaurant,Athens,Southern,10,Dollar($),No,No,No,No,1,4.5,Dark Green,Excellent,849
105,Sr. Sol 1,Athens,Mexican,10,Dollar($),No,No,No,No,1,4.6,Dark Green,Excellent,917
106,Choo Choo Eastside,Athens,"Japanese, Korean",10,Dollar($),No,No,No,No,1,3.9,Yellow,Good,439
107,The Grill,Athens,"Breakfast, Burger, Sandwich",10,Dollar($),No,No,No,No,1,3.7,Yellow,Good,289
108,Big City Bread Cafe,Athens,"Breakfast, Sandwich",10,Dollar($),No,No,No,No,1,4.3,Green,Very Good,558
109,Clocked,Athens,"American, Burger, Sandwich",10,Dollar($),No,No,No,No,1,4.2,Green,Very Good,613
110,DePalma's Italian Cafe - Downtown,Athens,"American, Italian, Pizza",25,Dollar($),No,No,No,No,2,4,Green,Very Good,353
111,DePalma's Italian Cafe - East Side,Athens,"American, Italian, Pizza",25,Dollar($),No,No,No,No,2,4.1,Green,Very Good,387
112,Five & Ten,Athens,American,40,Dollar($),No,No,No,No,3,4.3,Green,Very Good,755
113,Grit,Athens,"International, Southern, Vegetarian",10,Dollar($),No,No,No,No,1,4.2,Green,Very Good,800
114,Ike & Jane,Athens,Sandwich,10,Dollar($),No,No,No,No,1,4.1,Green,Very Good,350
115,La Dolce Vita Ristorante,Athens,Italian,40,Dollar($),No,No,No,No,3,4.1,Green,Very Good,464
116,Shokitini,Athens,"Asian, Japanese, Sushi",25,Dollar($),No,No,No,No,2,4.2,Green,Very Good,550
117,Taqueria Del Sol,Athens,"Mexican, Spanish",10,Dollar($),No,No,No,No,1,4.1,Green,Very Good,543
118,The National,Athens,"International, Southern",40,Dollar($),No,No,No,No,3,4.1,Green,Very Good,465
119,The Royal Peasant,Athens,Bar Food,10,Dollar($),No,No,No,No,1,4.4,Green,Very Good,546
120,Transmetropolitan,Athens,"Italian, Pizza, Sandwich",10,Dollar($),No,No,No,No,1,4.4,Green,Very Good,1098
121,Trappeze Pub,Athens,"Burger, Bar Food",25,Dollar($),No,No,No,No,2,4.2,Green,Very Good,579
122,Viva! Argentine Cuisine,Athens,"Desserts, Latin American, Argentine",10,Dollar($),No,No,No,No,1,4.1,Green,Very Good,374
123,Miyabi Kyoto Japanese Steak House,Augusta,"Chinese, Steak",40,Dollar($),No,No,No,No,3,4.6,Dark Green,Excellent,717
124,Rae's Coastal Cafe,Augusta,"American, Caribbean, Seafood",40,Dollar($),No,No,No,No,3,4.9,Dark Green,Excellent,548
125,The Bee's Knees,Augusta,"International, Tapas, Vegetarian",25,Dollar($),No,No,No,No,2,4.5,Dark Green,Excellent,631
126,Boll Weevil Cafe,Augusta,"Desserts, Sandwich, Southern",10,Dollar($),No,No,No,No,1,3.9,Yellow,Good,372
127,Farmhaus Burger,Augusta,"American, Burger",25,Dollar($),No,No,No,No,2,3.9,Yellow,Good,201
128,Manuel's Bread Cafe,Augusta,"Breakfast, French",40,Dollar($),No,No,No,No,3,3.8,Yellow,Good,332
129,Sconyers Bar B Que,Augusta,BBQ,25,Dollar($),No,No,No,No,2,3.5,Yellow,Good,304
130,Frog Hollow Tavern,Augusta,American,40,Dollar($),No,No,No,No,3,4.3,Green,Very Good,368
131,Giuseppe's Pizza & Italian Specialities,Augusta,"Desserts, Italian, Pizza",25,Dollar($),No,No,No,No,2,4.1,Green,Very Good,430
132,Mellow Mushroom,Augusta,"Italian, Pizza, Sandwich",25,Dollar($),No,No,No,No,2,4.4,Green,Very Good,433
133,Nacho Mamas Burritos,Augusta,Mexican,10,Dollar($),No,No,No,No,1,4,Green,Very Good,380
134,Rhinehart's Oyster Bar,Augusta,"Bar Food, Sandwich, Seafood",25,Dollar($),No,No,No,No,2,4,Green,Very Good,456
135,Takosushi,Augusta,"Mexican, Southwestern, Sushi",40,Dollar($),No,No,No,No,3,4.2,Green,Very Good,647
136,The Chop House,Augusta,Steak,40,Dollar($),No,No,No,No,3,4,Green,Very Good,360
137,The Taj of India,Augusta,Indian,25,Dollar($),No,No,No,No,2,4,Green,Very Good,227
138,Augsburg Haus,Augusta,German,25,Dollar($),No,No,No,No,2,3.9,Yellow,Good,290
139,Pho Bac,Augusta,Vietnamese,10,Dollar($),No,No,No,No,1,4.1,Green,Very Good,270
140,Rhinehart's Oyster Bar,Augusta,"Burger, Seafood",25,Dollar($),No,No,No,No,2,4,Green,Very Good,326
141,Thai Kitchen,Augusta,Thai,35,Dollar($),No,No,No,No,3,4.3,Green,Very Good,317
142,El Kiosco Mexican Restaurant,Augusta,Mexican,10,Dollar($),No,No,No,No,1,4.2,Green,Very Good,300
143,Taste of Balingup,Balingup,Modern Australian,20,Dollar($),No,No,No,No,2,3.2,Orange,Average,21
144,Bridge Road Brewers,Beechworth,"Pizza, Bar Food",20,Dollar($),No,No,No,No,2,4.6,Dark Green,Excellent,237
145,Bardenay,Boise,"American, Bar Food",25,Dollar($),No,No,No,No,2,4.5,Dark Green,Excellent,879
146,Flatbread Neapolitan Pizzeria,Boise,"Italian, Pizza",25,Dollar($),No,No,No,No,2,4.6,Dark Green,Excellent,615
147,Goldy's Breakfast Bistro,Boise,"Breakfast, Sandwich",25,Dollar($),No,No,No,No,2,4.5,Dark Green,Excellent,879
148,Chandlers Steakhouse,Boise,"American, Seafood, Steak",70,Dollar($),No,No,No,No,4,3.9,Yellow,Good,379
149,Bar Gernika Basque Pub & Eatery,Boise,"European, Spanish",10,Dollar($),No,No,No,No,1,4.3,Green,Very Good,303
150,Barbacoa Restaurant,Boise,"Latin American, Steak",70,Dollar($),No,No,No,No,4,4.1,Green,Very Good,538
151,Big Jud's,Boise,"American, Burger, Sandwich",10,Dollar($),No,No,No,No,1,4.2,Green,Very Good,334
152,Bittercreek Ale House,Boise,"American, Bar Food",25,Dollar($),No,No,No,No,2,4.3,Green,Very Good,555
153,Boise Fry Company,Boise,"American, Burger",10,Dollar($),No,No,No,No,1,4.4,Green,Very Good,823
154,Flying Pie Pizzaria,Boise,Pizza,25,Dollar($),No,No,No,No,2,4.1,Green,Very Good,550
155,Fork,Boise,"American, Burger",25,Dollar($),No,No,No,No,2,4.4,Green,Very Good,650
156,Guido's Original New York Style Pizza,Boise,Pizza,10,Dollar($),No,No,No,No,1,4.3,Green,Very Good,410
157,Los Beto's,Boise,Mexican,10,Dollar($),No,No,No,No,1,4.4,Green,Very Good,660
158,Lucianos Italian Restaurant,Boise,"Italian, Seafood, Vegetarian",25,Dollar($),No,No,No,No,2,4.4,Green,Very Good,360
159,Mai Thai Restaurant,Boise,"Sushi, Thai",40,Dollar($),No,No,No,No,3,4,Green,Very Good,340
160,Shige Japanese Cuisine,Boise,"Japanese, Sushi, Teriyaki",25,Dollar($),No,No,No,No,2,4.1,Green,Very Good,393
161,The Egg Factory,Boise,Breakfast,10,Dollar($),No,No,No,No,1,4.3,Green,Very Good,422
162,Tucanos,Boise,Brazilian,40,Dollar($),No,No,No,No,3,4,Green,Very Good,435
163,Texas Roadhouse,Boise,"American, BBQ, Steak",25,Dollar($),No,No,No,No,2,4,Green,Very Good,369
164,Brick 29,Boise,American,40,Dollar($),No,No,No,No,3,4.4,Green,Very Good,487
165,Winifreds,Cedar Rapids/Iowa City,"American, Mediterranean, Seafood",40,Dollar($),No,No,No,No,3,3.7,Yellow,Good,98
166,Biaggi's Ristorante Italiano,Cedar Rapids/Iowa City,"Italian, Pizza",40,Dollar($),No,No,No,No,3,4.1,Green,Very Good,365
167,El Super Burrito,Cedar Rapids/Iowa City,Mexican,10,Dollar($),No,No,No,No,1,4.1,Green,Very Good,190
168,Granite City Food & Brewery,Cedar Rapids/Iowa City,"American, Breakfast, Burger",40,Dollar($),No,No,No,No,3,4.1,Green,Very Good,429
169,Irish Democrat,Cedar Rapids/Iowa City,"American, BBQ, Burger",25,Dollar($),No,No,No,No,2,4.4,Green,Very Good,430
170,Taste of India,Cedar Rapids/Iowa City,Indian,25,Dollar($),No,No,No,No,2,4.2,Green,Very Good,186
171,Thai Moon Restaurant,Cedar Rapids/Iowa City,"Chinese, Sushi, Thai",10,Dollar($),No,No,No,No,1,4.2,Green,Very Good,220
172,Ting's Red Lantern,Cedar Rapids/Iowa City,Chinese,10,Dollar($),No,No,No,No,1,4.2,Green,Very Good,347
173,Monica's,Cedar Rapids/Iowa City,"American, Italian, Pizza",25,Dollar($),No,No,No,No,2,3.8,Yellow,Good,161
174,Exotic India,Cedar Rapids/Iowa City,Indian,25,Dollar($),No,No,No,No,2,4.1,Green,Very Good,160
175,Shorts Burger and Shine,Cedar Rapids/Iowa City,Burger,10,Dollar($),No,No,No,No,1,4.9,Dark Green,Excellent,820
176,The Hamburg Inn No. 2 Inc.,Cedar Rapids/Iowa City,"American, Breakfast, Burger",10,Dollar($),No,No,No,No,1,4.5,Dark Green,Excellent,488
177,Bluebird Diner,Cedar Rapids/Iowa City,"Breakfast, Diner",25,Dollar($),No,No,No,No,2,3.6,Yellow,Good,253
178,Graze,Cedar Rapids/Iowa City,"American, International, Sushi",40,Dollar($),No,No,No,No,3,3.8,Yellow,Good,220
179,A & A Pagliai's Pizza,Cedar Rapids/Iowa City,Pizza,25,Dollar($),No,No,No,No,2,4.3,Green,Very Good,485
180,Atlas World Grill,Cedar Rapids/Iowa City,International,40,Dollar($),No,No,No,No,3,4.3,Green,Very Good,428
181,BlackStone,Cedar Rapids/Iowa City,"American, Breakfast",25,Dollar($),No,No,No,No,2,4.1,Green,Very Good,294
182,Devotay,Cedar Rapids/Iowa City,"Mediterranean, Tapas, Vegetarian",40,Dollar($),No,No,No,No,3,4,Green,Very Good,380
183,Jimmy Jack's Rib Shack,Cedar Rapids/Iowa City,BBQ,25,Dollar($),No,No,No,No,2,4.2,Green,Very Good,259
184,Zoeys Pizzeria,Cedar Rapids/Iowa City,"Pizza, Sandwich",25,Dollar($),No,No,No,No,2,4.7,Dark Green,Excellent,433
185,Tokyo Sushi,Chatham-Kent,"Japanese, Sushi",25,Dollar($),No,No,No,No,2,3.7,Yellow,Good,176
186,Berry Patch Restaurant,Clatskanie,"American, Breakfast, Desserts",10,Dollar($),No,No,No,No,1,4.3,Green,Very Good,96
187,Sakura Sushi & Grill,Cochrane,"Asian, Japanese",25,Dollar($),No,No,No,No,2,3.1,Orange,Average,6
188,Uptown Vietnam cuisine,Columbus,"Asian, Vietnamese",10,Dollar($),No,No,No,No,1,3.3,Orange,Average,33
189,Cafe Le Rue @ The Landings,Columbus,"American, Seafood, Cajun",25,Dollar($),No,No,No,No,2,4.6,Dark Green,Excellent,489
190,Mark's City Grille,Columbus,American,25,Dollar($),No,No,No,No,2,4.5,Dark Green,Excellent,345
191,B Merrell's,Columbus,"Burger, Bar Food, Southern",25,Dollar($),No,No,No,No,2,3.8,Yellow,Good,149
192,Cannon Brewpub,Columbus,"Pizza, Bar Food",25,Dollar($),No,No,No,No,2,3.9,Yellow,Good,330
193,Fuji Japanese Steak House,Columbus,"Japanese, Steak",40,Dollar($),No,No,No,No,3,3.9,Yellow,Good,247
194,Ruth Ann's Family Restaurant,Columbus,"Breakfast, Diner, Southern",10,Dollar($),No,No,No,No,1,3.7,Yellow,Good,123
195,Samurai Japanese Cuisine & Sushi Bar,Columbus,"Japanese, Steak, Sushi",40,Dollar($),No,No,No,No,3,3.6,Yellow,Good,109
196,Wasabi Sushi and Thai,Columbus,"Japanese, Sushi, Thai",40,Dollar($),No,No,No,No,3,3.7,Yellow,Good,134
197,Buckhead Bar and Grill,Columbus,"Seafood, Steak, Vegetarian",40,Dollar($),No,No,No,No,3,4.2,Green,Very Good,722
198,Burt's Butcher Shoppe and Eatery,Columbus,Steak,25,Dollar($),No,No,No,No,2,4.3,Green,Very Good,213
199,Chef Lee's Peking Restaurant,Columbus,Chinese,25,Dollar($),No,No,No,No,2,4,Green,Very Good,335
200,Country's Barbecue,Columbus,"BBQ, Southern",25,Dollar($),No,No,No,No,2,4,Green,Very Good,353
202,Mellow Mushroom,Columbus,Pizza,25,Dollar($),No,No,No,No,2,4.1,Green,Very Good,192
203,Meritage,Columbus,"American, Tapas",40,Dollar($),No,No,No,No,3,4.1,Green,Very Good,302
204,Mongo The Mongolian Fire Pit,Columbus,"Asian, Chinese",10,Dollar($),No,No,No,No,1,4.2,Green,Very Good,355
205,The Black Cow,Columbus,American,25,Dollar($),No,No,No,No,2,4.3,Green,Very Good,287
206,Wood Stone,Columbus,"Italian, Mediterranean, Pizza",40,Dollar($),No,No,No,No,3,4,Green,Very Good,264
207,Hunter's Pub,Columbus,"American, Seafood, Steak",40,Dollar($),No,No,No,No,3,4.4,Green,Very Good,235
208,Consort Restaurant,Consort,"Chinese, Canadian",25,Dollar($),No,No,No,No,2,3,Orange,Average,6
209,Thatcher's Barbeque and Grill,Dalton,"American, BBQ, Southern",25,Dollar($),No,No,No,No,2,3.7,Yellow,Good,38
210,Christian and Jake's Bistro,Dalton,"Desserts, Sandwich",10,Dollar($),No,No,No,No,1,4.4,Green,Very Good,122
211,Dub's High on the Hog,Dalton,BBQ,25,Dollar($),No,No,No,No,2,4.4,Green,Very Good,207
212,Sierra's Mexican Restaurant,Dalton,"Mexican, Tex-Mex",10,Dollar($),No,No,No,No,1,3.9,Yellow,Good,66
213,Oakwood Cafe,Dalton,"BBQ, Breakfast, Southern",10,Dollar($),No,No,No,No,1,4.9,Dark Green,Excellent,249
214,Chili's Grill & Bar,Dalton,American,25,Dollar($),No,No,No,No,2,3.8,Yellow,Good,63
215,Fuji Japanese Steakhouse,Dalton,"Japanese, Sushi",40,Dollar($),No,No,No,No,3,3.8,Yellow,Good,145
216,Las Palmas,Dalton,Mexican,10,Dollar($),No,No,No,No,1,3.8,Yellow,Good,83
217,Tony's Italian Restaurant & Pizza,Dalton,Italian,25,Dollar($),No,No,No,No,2,3.7,Yellow,Good,116
218,Filling Station,Dalton,"American, Burger",10,Dollar($),No,No,No,No,1,4.1,Green,Very Good,122
219,Five Guys Burgers and Fries,Dalton,Fast Food,10,Dollar($),No,No,No,No,1,4.1,Green,Very Good,142
